"repo","state","creator","assignees","message","labels","created_at","updated_at","closed_at","comments","milestone","url","duration"
"ecommerceberlin/admin","closed","az","az","AUTH_CHECK endpoint - API part","api","2021-08-18","2021-08-24","2021-08-18",2,"Migration Step 1","https://github.com/ecommerceberlin/admin/issues/21",1
"ecommerceberlin/admin","closed","az","az","fix regression on SINGLE assign of account manager for a company","bug","2021-08-17","2021-08-24","2021-08-17",3,"Migration Step 1","https://github.com/ecommerceberlin/admin/issues/20",45
"ecommerceberlin/admin","closed","az","az","fix regression on MASS assigning account manager to companies","bug","2021-08-17","2021-08-24","2021-08-17",2,"Migration Step 1","https://github.com/ecommerceberlin/admin/issues/19",33
"ecommerceberlin/admin","closed","az","az","basic audit log api logic","api","2021-08-24","2021-08-24","2021-08-24",1,"Migration Step 1","https://github.com/ecommerceberlin/admin/issues/23",0
"ecommerceberlin/ecommerceberlin.com","open","az","az","handle after-voting user interaction: offer another vote or registering as a visitor","","2021-08-12","2021-08-12","",0,"CFP","https://github.com/ecommerceberlin/ecommerceberlin.com/issues/55",0
"ecommerceberlin/ecommerceberlin.com","open","az","az","CFP add submission edit page via /account","","2021-08-12","2021-08-12","",0,"CFP","https://github.com/ecommerceberlin/ecommerceberlin.com/issues/53",0
"ecommerceberlin/ecommerceberlin.com","open","az","az","CFP /vote/category - fix linking to details page","","2021-08-12","2021-08-12","",0,"CFP","https://github.com/ecommerceberlin/ecommerceberlin.com/issues/52",0
"ecommerceberlin/ecommerceberlin.com","open","az","az","randomize order of submission in the browser","","2021-08-12","2021-08-12","",0,"CFP","https://github.com/ecommerceberlin/ecommerceberlin.com/issues/51",0
"ecommerceberlin/ecommerceberlin.com","open","az","az","hide number of votes in CFP","","2021-08-12","2021-08-12","",0,"CFP","https://github.com/ecommerceberlin/ecommerceberlin.com/issues/50",0
"ecommerceberlin/ecommerceberlin.com","open","az","az","check if voting via linkedin account is still possible","","2021-08-12","2021-08-12","",0,"CFP","https://github.com/ecommerceberlin/ecommerceberlin.com/issues/49",0
"ecommerceberlin/ecommerceberlin.com","open","az","az","fix validation on cfp submit form","","2021-08-12","2021-08-12","",0,"CFP","https://github.com/ecommerceberlin/ecommerceberlin.com/issues/48",0
"ecommerceberlin/ecommerceberlin.com","open","az","az","rework /vote - enhance buttons for categories (add icons...)","","2021-08-12","2021-08-12","",0,"CFP","https://github.com/ecommerceberlin/ecommerceberlin.com/issues/47",0
"ecommerceberlin/ecommerceberlin.com","open","az","az","rework /vote - add timer to show remaining days till the end of the voting","","2021-08-12","2021-08-12","",0,"CFP","https://github.com/ecommerceberlin/ecommerceberlin.com/issues/45",0
"ecommerceberlin/ecommerceberlin.com","open","az","marek-berlin, jprzybylski4","revise all CFP related legal files ","updates","2021-08-02","2021-08-12","",0,"CFP","https://github.com/ecommerceberlin/ecommerceberlin.com/issues/37",0
"ecommerceberlin/ecommerceberlin.com","open","az","az","photostream is fucked up on bigger streams","bug","2021-08-02","2021-08-12","",0,"CFP","https://github.com/ecommerceberlin/ecommerceberlin.com/issues/36",0
"ecommerceberlin/ecommerceberlin.com","open","az","az","display XING link on public exhibitor profile","enhancement","2021-08-11","2021-08-12","",0,"","https://github.com/ecommerceberlin/ecommerceberlin.com/issues/44",0
"ecommerceberlin/admin","open","az","az","test","","2021-08-24","2021-08-24","",0,"","https://github.com/ecommerceberlin/admin/issues/26",0
"ecommerceberlin/admin","open","az","az","test","","2021-08-24","2021-08-24","",0,"","https://github.com/ecommerceberlin/admin/issues/25",0
"ecommerceberlin/admin","open","az","az","tickets: add ticket group data to ticket data (example: ticket group name)","api, tickets","2021-08-24","2021-08-24","",0,"Migration Step 1","https://github.com/ecommerceberlin/admin/issues/49",0
"ecommerceberlin/admin","open","az","az","tickets: create price->baseprice migration procedure ","api, tickets, db","2021-08-24","2021-08-24","",0,"Migration Step 1","https://github.com/ecommerceberlin/admin/issues/48",0
"ecommerceberlin/admin","open","az","az","tickets: prepare ticket taggings migration procedure","api, tickets, db","2021-08-24","2021-08-24","",0,"Migration Step 1","https://github.com/ecommerceberlin/admin/issues/47",0
"ecommerceberlin/admin","open","az","az","tickets: handle new pricing strategy on public websites (use base price when set)","tickets, clients","2021-08-24","2021-08-24","",0,"Migration Step 1","https://github.com/ecommerceberlin/admin/issues/46",0
"ecommerceberlin/admin","open","az","az","tickets: mass operations: add/remove tags, ticket_group_id","tickets, admin","2021-08-24","2021-08-24","",0,"Migration Step 1","https://github.com/ecommerceberlin/admin/issues/43",0
"ecommerceberlin/admin","open","az","az","tickets list view: filter by role, ticket group id, tag","tickets, admin","2021-08-24","2021-08-24","",0,"Migration Step 1","https://github.com/ecommerceberlin/admin/issues/42",0
"ecommerceberlin/admin","open","az","az","tickets: attach audit log to ticket CRUD operations","tickets, admin","2021-08-24","2021-08-24","",0,"Migration Step 1","https://github.com/ecommerceberlin/admin/issues/40",0
"ecommerceberlin/admin","open","az","az","tickets (api): handle ticket updates","tickets, admin","2021-08-24","2021-08-24","",0,"Migration Step 1","https://github.com/ecommerceberlin/admin/issues/39",0
"ecommerceberlin/admin","open","az","az","tickets: edit view (translation asset id, internal name)","tickets, admin","2021-08-24","2021-08-24","",0,"Migration Step 1","https://github.com/ecommerceberlin/admin/issues/38",0
"ecommerceberlin/admin","open","az","az","tickets (api): handle creating new tickets","tickets, admin","2021-08-24","2021-08-24","",0,"Migration Step 1","https://github.com/ecommerceberlin/admin/issues/37",0
"ecommerceberlin/admin","open","az","az","tickets: new ticket view","tickets, admin","2021-08-24","2021-08-24","",0,"Migration Step 1","https://github.com/ecommerceberlin/admin/issues/36",0
"ecommerceberlin/admin","open","az","az","tickets: create quick lookup view (start, end dates, reason of inactivity)","tickets, admin","2021-08-24","2021-08-24","",0,"Migration Step 1","https://github.com/ecommerceberlin/admin/issues/35",0
"ecommerceberlin/admin","open","az","az","tickets (api): handle ticket tagging via api","api, tickets","2021-08-24","2021-08-24","",0,"Migration Step 1","https://github.com/ecommerceberlin/admin/issues/34",0
"ecommerceberlin/admin","open","az","az","tickets: use sales data for ticket status","api, tickets","2021-08-24","2021-08-24","",0,"Migration Step 1","https://github.com/ecommerceberlin/admin/issues/33",0
"ecommerceberlin/admin","open","az","az","i18n: fetch localise data from api and store in resources","tickets, admin","2021-08-24","2021-08-24","",0,"Migration Step 1","https://github.com/ecommerceberlin/admin/issues/31",0
"ecommerceberlin/admin","open","az","az","i18n: create proxy for passing localise data to public admin","api, tickets","2021-08-24","2021-08-24","",0,"Migration Step 1","https://github.com/ecommerceberlin/admin/issues/30",0
"ecommerceberlin/admin","open","az","az","tickets: add new field: internal name","api, tickets, db","2021-08-24","2021-08-24","",0,"Migration Step 1","https://github.com/ecommerceberlin/admin/issues/28",0
"ecommerceberlin/admin","open","az","az","tickets: handle sorting in list view (role, ticket group id)","api, tickets","2021-08-24","2021-08-24","",0,"Migration Step 1","https://github.com/ecommerceberlin/admin/issues/27",0
"ecommerceberlin/admin","open","az","az","add pusher subscription to monitor other users data changes and forcing view update","enhancement","2021-08-24","2021-08-24","",0,"Migration Step 2","https://github.com/ecommerceberlin/admin/issues/24",0
"ecommerceberlin/admin","open","az","az","Audit log","","2021-08-12","2021-08-23","",1,"Migration Step 1","https://github.com/ecommerceberlin/admin/issues/18",0
"ecommerceberlin/admin","open","az","az","data migrator: participants comments ","api","2021-08-23","2021-08-23","",0,"","https://github.com/ecommerceberlin/admin/issues/22",0
"ecommerceberlin/admin","open","az","","Admin migration roadmap - PURCHASES","","2021-08-11","2021-08-12","",4,"Migration Step 2","https://github.com/ecommerceberlin/admin/issues/13",0
"ecommerceberlin/admin","open","az","az","Admin migration roadmap - INPUTS","","2021-08-12","2021-08-12","",0,"Migration Step 1","https://github.com/ecommerceberlin/admin/issues/17",0
"ecommerceberlin/admin","open","az","az","marketing activities log (planned, executed)","","2021-08-11","2021-08-12","",1,"Migration Step 1","https://github.com/ecommerceberlin/admin/issues/14",0
"ecommerceberlin/admin","open","az","az, peterecommberlin, marek-berlin, jprzybylski4, KarolinaTEH","Admin migration roadmap - COMPANIES","","2021-08-04","2021-08-12","",25,"Migration Step 1","https://github.com/ecommerceberlin/admin/issues/11",0
"ecommerceberlin/admin","open","az","","Tickets default view - sort by translation asset id -> internal","","2021-08-12","2021-08-12","",0,"","https://github.com/ecommerceberlin/admin/issues/16",0
"ecommerceberlin/admin","open","az","az","TICKETs migration","Epic","2021-08-12","2021-08-12","",0,"","https://github.com/ecommerceberlin/admin/issues/15",0
